block_based_exp,robot_prog_exp,general_prog_exp,success,tool,,,
No,No,None,TRUE,ROY,,,
Yes,No,Less than 1,TRUE,ROY,,,
Yes,No,Less than 1,TRUE,ROY,,,
No,No,None,TRUE,ROY,,,
No,No,None,TRUE,ROY,,,
No,Yes,5 years and over,TRUE,ROY,,,
Yes,No,4-Mar,TRUE,ROY,,,
No,No,None,TRUE,ROY,,,
No,No,None,TRUE,ROY,,,
Yes,No,4-Mar,TRUE,ROY,,,
No,No,4-Mar,TRUE,ROY,,,
No,No,2-Jan,TRUE,ROY,,,
No,No,4-Mar,FALSE,ROY,,,
No,No,Less than 1,FALSE,ROY,,,
No,No,None,FALSE,ROY,,,
No,No,2-Jan,FALSE,ROY,,,
No,No,None,FALSE,ROY,,,
No,No,None,FALSE,ROY,,,
No,No,Less than 1,FALSE,ROY,,,
No,No,None,FALSE,ROY,,,
No,No,5 years and over,FALSE,ROY,,,
No,No,None,FALSE,ROY,,,
No,No,2-Jan,FALSE,ROY,,,
No,No,None,FALSE,ROY,,,
Yes,No,Less than 1,FALSE,ROY,,,
No,No,Less than 1,FALSE,ROY,,,
No,No,2-Jan,TRUE,Duplo,,,
No,No,None,TRUE,Duplo,,,
Yes,No,Less than 1,TRUE,Duplo,,,
Yes,Yes,4-Mar,TRUE,Duplo,,,
Yes,No,More than 5,TRUE,Duplo,,,
No,No,None,TRUE,Duplo,,,
No,No,None,TRUE,Duplo,,,
No,No,Less than 1,TRUE,Duplo,,,
No,No,4-Mar,TRUE,Duplo,,,
Yes,No,Less than 1,TRUE,Duplo,,,
No,No,None,TRUE,Duplo,,,
Yes,No,Less than 1,TRUE,Duplo,,,
No,No,None,TRUE,Duplo,,,
Yes,No,Less than 1,TRUE,Duplo,,,
Yes,Yes,Less than 1,TRUE,Duplo,,,
Yes,No,4-Mar,TRUE,Duplo,,,
Yes,No,Less than 1,TRUE,Duplo,,,
Yes,No,4-Mar,TRUE,Duplo,,,
No,No,None,TRUE,Duplo,,,
Yes,No,2-Jan,TRUE,Duplo,,,
No,No,2-Jan,TRUE,Duplo,,,
No,No,None,FALSE,Duplo,,,
Yes,No,None,FALSE,Duplo,,,
No,No,None,FALSE,Duplo,,,
No,No,2-Jan,FALSE,Duplo,,,
No,No,None,FALSE,Duplo,,,
